supplier,country,shipment_count,total_shipment_volume,average_delay,average_reliability,total_freight_cost,total_revenue_impact
SUP009,UAE,3,21722,7.67,0.79,726427.76,1957998.29
SUP044,China,1,13263,8.00,0.78,248727.74,668973.21
SUP021,Singapore,1,13424,7.00,0.56,323607.59,627282.96
SUP006,Saudi Arabia,3,29869,6.00,0.69,835937.89,2190784.13
SUP003,Saudi Arabia,5,33343,12.20,0.79,1019619.42,2695681.45
SUP050,Germany,2,19933,14.50,0.56,516042.46,1347089.94
SUP033,India,2,18248,21.50,0.70,492134.72,1814800.89
SUP015,Saudi Arabia,1,13094,18.00,0.82,297718.45,1002865.84
SUP018,China,1,1448,18.00,0.78,139587.65,484334.63
SUP024,UAE,3,21045,18.67,0.71,563479.04,1983174.03
SUP001,Kuwait,2,16159,20.00,0.76,478586.03,1628696.41
SUP042,Saudi Arabia,2,15881,21.50,0.66,500918.62,1596727.95
SUP009,Germany,1,507,15.00,0.53,39899.14,384270.01
SUP003,Qatar,2,10312,8.00,0.78,425970.69,991826.87
SUP017,Germany,1,13730,17.00,0.87,322559.57,929399.32
SUP044,Oman,4,20991,9.00,0.82,610764.25,1942288.37
SUP010,Kuwait,2,26553,10.00,0.80,582964.86,1824955.82
SUP049,UAE,2,15782,11.50,0.68,456155.10,1332358.11
SUP043,Oman,1,3767,7.00,0.80,132076.35,295002.27
SUP008,China,1,10771,9.00,0.93,244794.45,862880.00
SUP045,India,1,13228,26.00,0.78,318639.24,1203197.11
SUP020,India,1,2250,11.00,0.64,236049.88,345436.77
SUP033,Saudi Arabia,4,40367,9.75,0.80,1201194.45,2759039.97
SUP044,Saudi Arabia,1,942,10.00,0.54,92720.19,389895.19
SUP010,Oman,2,14191,6.50,0.85,422449.23,837029.19
SUP027,Singapore,2,20732,10.50,0.65,457799.81,1534787.51
SUP031,Singapore,1,10091,4.00,0.81,222729.67,598209.15
SUP042,Singapore,2,11628,17.00,0.72,398105.28,1243464.07
SUP036,Saudi Arabia,2,22382,13.50,0.80,471138.84,1782976.26
SUP041,UAE,1,14021,2.00,0.79,305891.04,590248.56
SUP008,Iraq,2,27481,8.00,0.76,634194.17,1658528.49
SUP029,China,2,16105,20.50,0.74,458763.17,1784809.38
SUP004,Singapore,1,7019,21.00,0.59,197703.61,849743.13
SUP011,Qatar,2,6398,16.00,0.84,211611.76,870288.94
SUP046,Oman,1,14135,4.00,0.94,357179.32,876604.95
SUP034,Singapore,1,2262,7.00,0.57,98734.81,367736.61
SUP004,Iraq,1,14447,4.00,0.91,372837.49,812506.24
SUP013,Singapore,2,25979,11.00,0.74,595073.80,1817481.28
SUP049,Germany,1,13640,3.00,0.64,345112.20,772722.10
SUP008,India,1,10558,4.00,0.73,281948.09,681186.76
SUP039,Qatar,2,21102,6.50,0.71,540813.26,1424678.92
SUP028,Qatar,2,17420,5.50,0.88,381184.13,1177329.64
SUP047,Saudi Arabia,2,8193,7.00,0.76,309027.89,563865.52
SUP016,Singapore,1,8833,2.00,0.67,310130.89,393573.98
SUP020,China,1,7493,23.00,0.73,232983.61,717898.09
SUP047,China,1,6327,2.00,0.66,213887.33,345459.35
SUP032,Singapore,2,19209,6.50,0.92,396841.23,1198807.15
SUP037,Germany,2,22727,10.00,0.80,560726.40,1599071.09
SUP008,Oman,2,13126,19.00,0.72,277400.33,1310578.52
SUP033,Germany,1,9846,4.00,0.87,265576.97,637260.94
SUP011,UAE,2,15725,6.00,0.85,422207.69,908093.85
SUP008,Qatar,3,13468,11.33,0.66,560825.32,1493652.89
SUP041,Kuwait,4,27155,9.25,0.65,730102.98,2018235.48
SUP040,Qatar,2,16074,11.00,0.84,396817.43,1253425.89
SUP004,Qatar,1,9035,6.00,0.77,226399.91,475305.37
SUP034,UAE,1,5443,29.00,0.59,163825.32,971091.83
SUP048,China,1,14640,12.00,0.86,318741.54,1099275.75
SUP045,Oman,2,12138,9.00,0.76,348013.89,970086.83
SUP050,Qatar,1,5913,16.00,0.81,167440.58,684121.94
SUP022,Germany,2,24953,12.00,0.80,583301.65,1910324.72
SUP023,Singapore,1,4818,2.00,0.56,97295.39,204532.54
SUP001,UAE,3,11256,21.67,0.86,364391.68,1723790.54
SUP042,Germany,2,9285,9.50,0.71,292676.17,1022828.84
SUP028,Singapore,1,13717,9.00,0.50,331746.01,913775.01
SUP024,Singapore,1,8021,15.00,0.98,165314.79,803754.59
SUP032,Iraq,2,14015,6.00,0.80,460763.97,1236527.48
SUP002,Oman,5,51234,9.00,0.79,1384433.08,3404209.01
SUP018,Kuwait,1,13375,22.00,0.87,341352.12,1023104.33
SUP009,China,2,20681,6.50,0.84,421489.15,1238508.13
SUP017,Saudi Arabia,3,35802,12.00,0.80,863352.21,2465517.77
SUP041,India,1,12481,20.00,0.87,248234.53,976748.23
SUP016,Oman,1,10912,25.00,0.85,290664.14,1020243.68
SUP027,India,2,13334,21.00,0.58,393073.35,1242805.94
SUP021,Germany,1,2133,9.00,0.87,38415.24,348639.85
SUP005,Saudi Arabia,3,20763,12.00,0.76,512414.24,1426081.95
SUP008,Kuwait,2,15894,16.00,0.74,372360.92,1432483.82
SUP033,UAE,3,34127,13.33,0.74,778815.85,2343092.78
SUP021,India,1,12277,4.00,0.82,284974.42,537808.05
SUP011,Kuwait,1,3655,8.00,0.52,119211.34,309943.48
SUP014,UAE,1,8603,4.00,0.58,234351.08,654991.17
SUP023,Saudi Arabia,1,14172,27.00,0.55,315500.05,1232595.78
SUP014,China,1,9270,8.00,0.64,244113.97,643242.30
SUP024,Qatar,3,24431,7.00,0.85,607716.12,1815705.57
SUP003,Kuwait,1,11907,16.00,0.83,320786.68,1062128.33
SUP043,China,1,9111,6.00,0.64,205757.15,581091.13
SUP034,Iraq,1,1685,9.00,0.89,141845.58,228101.78
SUP010,Germany,1,11911,23.00,0.90,253773.01,741408.55
SUP001,India,1,3821,6.00,0.51,171201.70,274620.99
SUP037,Iraq,3,7373,9.33,0.84,394142.22,959775.97
SUP023,Germany,1,11672,13.00,0.74,255066.34,881421.22
SUP030,Oman,1,2287,21.00,0.59,151092.52,460938.99
SUP029,Singapore,3,23161,9.00,0.87,671299.08,1723406.45
SUP019,Singapore,3,17570,13.33,0.65,574267.05,1750249.28
SUP030,Iraq,3,31012,4.33,0.76,730290.77,1659910.36
SUP003,Oman,2,17218,18.50,0.69,441348.54,1349147.20
SUP030,Germany,1,726,4.00,0.89,101326.95,103263.87
SUP031,Saudi Arabia,1,3861,20.00,0.86,209657.96,404316.30
SUP039,India,3,26253,12.00,0.70,730249.71,2185786.48
SUP024,Saudi Arabia,2,24096,10.00,0.87,611670.76,1622786.43
SUP047,Germany,1,1227,4.00,0.82,86075.77,225204.89
SUP020,Oman,3,29984,6.33,0.77,752459.51,1845954.93
SUP009,Singapore,1,13841,6.00,0.86,317958.49,899923.43
SUP023,India,1,9991,8.00,0.83,255454.08,615327.11
SUP036,UAE,3,30589,19.33,0.72,843468.93,2932999.98
SUP007,Qatar,1,4993,31.00,0.84,163278.36,837915.08
SUP020,Germany,2,4205,15.00,0.67,145296.63,785647.70
SUP024,Kuwait,1,13380,14.00,0.53,341351.02,822747.54
SUP049,Saudi Arabia,2,19828,25.50,0.74,543091.25,2279292.97
SUP031,Qatar,1,6548,10.00,0.92,207274.55,477900.98
SUP050,India,2,18181,7.00,0.88,534279.78,1082793.11
SUP001,Iraq,1,13105,18.00,0.69,325182.75,1225454.48
SUP035,China,2,13449,15.50,0.67,405946.48,1340523.21
SUP007,UAE,2,9598,9.50,0.96,245853.54,856423.36
SUP047,UAE,1,2354,24.00,0.75,96097.14,671519.40
SUP020,Saudi Arabia,1,7288,11.00,0.92,198684.16,611366.78
SUP006,Qatar,1,9777,10.00,0.91,173186.78,669554.60
SUP031,China,1,1992,12.00,0.55,80934.44,410301.75
SUP050,Kuwait,1,5146,12.00,0.63,121865.15,473649.36
SUP045,Iraq,1,1270,6.00,0.72,106716.69,82321.88
SUP016,Saudi Arabia,2,29381,13.50,0.75,716186.79,2195276.01
SUP002,Singapore,3,22080,19.33,0.82,641044.10,2144536.52
SUP027,Kuwait,3,31712,19.67,0.77,779981.50,3024639.43
SUP044,UAE,1,11761,0.00,0.70,245686.59,488220.69
SUP001,Qatar,4,20154,4.75,0.82,677588.86,1389077.57
SUP013,Saudi Arabia,1,9842,7.00,0.84,250318.70,538947.83
SUP027,China,1,12913,7.00,0.57,261066.10,600142.13
SUP012,Singapore,3,10030,10.33,0.84,490258.89,910666.88
SUP039,UAE,1,2135,15.00,0.79,97234.94,332974.48
SUP002,China,1,2894,21.00,0.62,140231.33,587052.57
SUP011,Saudi Arabia,2,17660,16.50,0.84,432486.44,1490270.14
SUP013,UAE,2,12021,22.50,0.94,397223.60,1492463.65
SUP004,Oman,1,11632,20.00,0.95,266365.29,1224863.63
SUP004,Saudi Arabia,2,21438,5.50,0.71,511706.15,1491170.46
SUP046,China,1,3024,14.00,0.55,158779.68,436119.79
SUP032,Qatar,2,14680,4.50,0.87,439266.18,755711.74
SUP015,UAE,1,3637,22.00,0.79,87292.04,427716.32
SUP012,Germany,2,19888,11.00,0.56,517291.20,1348704.34
SUP048,Saudi Arabia,3,38828,10.33,0.74,929262.45,2366341.93
SUP013,Germany,2,20116,9.00,0.56,525679.87,1340734.67
SUP043,UAE,2,2456,8.00,0.68,130505.78,640414.49
SUP023,China,2,7362,5.00,0.67,233554.52,571897.91
SUP048,Oman,1,2613,27.00,0.73,130231.93,810760.41
SUP007,India,3,33462,16.00,0.60,879176.27,2699142.06
SUP036,Iraq,1,7480,11.00,0.63,223254.15,723336.99
SUP030,India,1,6124,1.00,0.79,181100.14,295552.25
SUP049,Singapore,1,11285,12.00,0.94,325153.92,776407.05
SUP007,China,1,12966,10.00,0.78,294190.42,874702.90
SUP049,India,4,37565,12.25,0.80,958566.82,3095099.66
SUP021,Iraq,2,10334,7.50,0.68,358550.86,975250.12
SUP044,Kuwait,1,4878,19.00,0.84,164905.54,681297.67
SUP005,Qatar,1,10987,16.00,0.53,252841.16,947268.76
SUP023,Kuwait,3,16292,10.33,0.71,472280.20,1209494.39
SUP047,Kuwait,1,14703,8.00,0.69,328742.17,928072.59
SUP011,Oman,1,11193,33.00,0.75,278948.92,1323086.01
SUP039,Iraq,3,27158,11.33,0.65,814774.58,2020515.00
SUP021,Oman,1,8375,3.00,0.56,206179.24,537459.79
SUP031,Oman,1,12630,13.00,0.99,315100.44,930527.85
SUP024,Iraq,2,23115,11.50,0.86,637109.21,1718322.43
SUP043,Germany,1,7845,8.00,0.92,240963.11,627069.58
SUP013,China,2,5144,7.00,0.90,204026.71,726721.22
SUP042,Qatar,1,14718,17.00,0.80,346009.95,974178.81
SUP008,Germany,1,9421,29.00,0.71,270467.16,1065039.34
SUP025,Kuwait,1,8289,4.00,0.68,236462.62,510633.95
SUP010,Iraq,1,9601,3.00,0.79,245569.25,334678.22
SUP043,Saudi Arabia,1,7216,5.00,0.97,144334.39,448958.49
SUP014,Kuwait,1,11705,12.00,0.89,334157.63,594685.45
SUP003,Iraq,1,11151,4.00,0.72,205521.30,656761.43
SUP034,Qatar,1,5158,17.00,0.64,179967.94,441402.36
SUP044,India,2,9253,15.00,0.86,297154.93,820787.25
SUP049,Qatar,1,12836,10.00,0.51,340403.12,947020.19
SUP019,China,1,3915,5.00,0.93,181662.02,318706.26
SUP033,Iraq,1,13049,8.00,0.93,324672.40,877275.27
SUP048,Singapore,2,14414,10.00,0.89,377990.62,1127643.04
SUP032,India,2,13659,9.50,0.91,340614.86,1316231.54
SUP010,China,2,9460,6.00,0.85,409967.94,884660.25
SUP015,India,1,10628,6.00,0.66,325874.90,778566.52
SUP039,China,3,23966,14.67,0.70,716820.64,2016057.86
SUP027,Germany,1,13608,2.00,0.65,324222.98,470964.60
SUP028,Kuwait,2,8908,17.50,0.73,228607.28,1146882.99
SUP025,Singapore,3,26133,20.00,0.72,758185.91,2488886.25
SUP016,India,1,1355,20.00,0.51,101416.27,501165.76
SUP002,UAE,1,1110,16.00,0.53,112006.72,430617.67
SUP015,Oman,2,9895,12.00,0.60,313824.69,1290247.29
SUP012,UAE,3,9448,11.67,0.61,404605.71,1326842.19
SUP030,Qatar,2,25604,12.50,0.73,593708.14,1502986.99
SUP047,Qatar,1,5487,11.00,0.94,115181.15,387372.10
SUP031,Iraq,2,15557,6.50,0.77,379193.26,1094820.38
SUP032,Saudi Arabia,1,2356,9.00,0.55,135821.10,322755.64
SUP016,Qatar,2,5767,21.00,0.83,272918.69,1160738.13
SUP006,Singapore,2,17331,5.00,0.82,436326.22,1193960.79
SUP037,China,1,9267,11.00,0.73,285541.70,747055.18
SUP037,Saudi Arabia,2,20432,14.00,0.62,459191.61,1739157.43
SUP016,UAE,1,3552,17.00,0.57,97382.69,636793.12
SUP011,Singapore,1,12239,21.00,0.63,305851.66,1109812.74
SUP022,UAE,1,8504,26.00,0.74,177923.66,830741.07
SUP035,Kuwait,1,8486,1.00,0.75,212873.37,423831.76
SUP006,Oman,3,26164,7.67,0.73,726203.79,1784974.51
SUP005,Oman,3,19277,13.33,0.80,584316.31,1532580.93
SUP049,China,3,17002,11.67,0.82,536164.57,1565460.51
SUP031,India,1,7868,16.00,0.63,200948.53,687487.48
SUP002,Germany,1,6862,7.00,0.90,161609.36,314080.38
SUP004,Kuwait,1,5608,10.00,0.87,155973.39,524395.14
SUP015,Germany,1,9677,5.00,0.51,291433.47,537206.86
SUP028,Iraq,1,10631,4.00,0.51,239812.73,815669.05
SUP004,UAE,3,29734,12.67,0.72,813526.69,2528788.50
SUP033,China,3,28958,8.33,0.75,795794.28,2320297.39
SUP012,Kuwait,4,50822,12.75,0.79,1229278.25,3374409.43
SUP021,Saudi Arabia,1,1848,3.00,0.76,147923.65,202911.06
SUP040,Iraq,5,53159,14.40,0.78,1276511.23,4146738.97
SUP035,UAE,2,12624,15.50,0.85,389512.77,1261339.68
SUP022,Iraq,2,13662,13.50,0.79,437821.98,1182818.36
SUP029,Saudi Arabia,3,21486,16.33,0.70,619563.76,2027418.93
SUP045,Qatar,5,48442,13.20,0.66,1312925.11,3747231.43
SUP026,Iraq,1,905,36.00,0.82,138277.62,827389.03
SUP044,Germany,2,19934,5.00,0.70,485402.31,1330639.77
SUP025,Oman,2,12308,10.00,0.69,349178.35,912510.05
SUP034,Oman,2,9008,12.00,0.64,303909.22,961998.26
SUP041,Qatar,2,14716,15.50,0.66,394125.72,1204405.85
SUP025,China,6,40479,13.50,0.70,1140398.96,3723238.21
SUP018,Germany,1,13055,2.00,0.98,282551.07,831959.52
SUP026,Qatar,3,34235,6.00,0.63,849597.91,2361892.21
SUP012,Iraq,1,5412,13.00,0.83,164191.39,585256.92
SUP016,Iraq,1,4330,6.00,0.52,93293.55,320789.88
SUP009,Oman,1,4025,20.00,0.74,80526.00,455470.86
SUP019,Iraq,2,14292,19.00,0.63,401655.31,1324832.57
